"match_id","balls_per_over","team_1","team_2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire_1","umpire_2","tv_umpire","match_referee","winner","winner_runs","winner_wickets","method","outcome","eliminator","reserve_umpire"
"1188382","6","Sydney Sixers","Sydney Thunder","female","2019/20","2019/10/18","Women's Big Bash League","1","North Sydney Oval","Sydney","Sydney Sixers","bat","EA Perry","SA Lightbody","Marc Nickl","BC Treloar","Dave Gilbert","Sydney Sixers","49",NA,NA,NA,NA,NA
"1188383","6","Adelaide Strikers","Melbourne Renegades","female","2019/20","2019/10/19","Women's Big Bash League","2","Karen Rolton Oval","Adelaide","Adelaide Strikers","field","SFM Devine","Harry Singh","C Thomas",NA,"Ian Thomas","Adelaide Strikers",NA,"6",NA,NA,NA,NA
"1188384","6","Melbourne Stars","Hobart Hurricanes","female","2019/20","2019/10/19","Women's Big Bash League","4","Junction Oval","Melbourne","Melbourne Stars","field","B Vakarewa","Greg Azzopardi","D Brigham",NA,"Damien Herft","Hobart Hurricanes","20",NA,NA,NA,NA,NA
"1188385","6","Sydney Sixers","Brisbane Heat","female","2019/20","2019/10/19","Women's Big Bash League","3","North Sydney Oval","Sydney","Brisbane Heat","bat","L Harris","DR Close","Berend du Plessis","SA Lightbody","Tim Donahoo","Brisbane Heat","92",NA,NA,NA,NA,NA
"1188386","6","Adelaide Strikers","Melbourne Renegades","female","2019/20","2019/10/20","Women's Big Bash League","7","Karen Rolton Oval","Adelaide","Adelaide Strikers","bat","DN Wyatt","Eloise Sheridan","MV Waldron",NA,"Ian Thomas","Melbourne Renegades",NA,"5",NA,NA,NA,NA
"1188387","6","Melbourne Stars","Hobart Hurricanes","female","2019/20","2019/10/20","Women's Big Bash League","5","Junction Oval","Melbourne","Hobart Hurricanes","field","NJ Carey","D Ireland","Mattis van Eck",NA,"Kent Hannam","Hobart Hurricanes",NA,"5",NA,NA,NA,NA
"1188388","6","Sydney Thunder","Brisbane Heat","female","2019/20","2019/10/20","Women's Big Bash League","6","North Sydney Oval","Sydney","Brisbane Heat","bat","P Litchfield","Troy Penman","AR Hamilton","SA Lightbody","Neil Findlay","Sydney Thunder",NA,"7",NA,NA,NA,NA
"1188389","6","Melbourne Renegades","Perth Scorchers","female","2019/20","2019/10/23","Women's Big Bash League","8","Junction Oval","Melbourne","Melbourne Renegades","field","S Molineux","D Ireland","Greg Azzopardi",NA,"Kent Hannam","Melbourne Renegades",NA,"4",NA,NA,NA,NA
"1188390","6","Adelaide Strikers","Hobart Hurricanes","female","2019/20","2019/10/26","Women's Big Bash League","9","Allan Border Field","Brisbane","Hobart Hurricanes","field","SJ Coyte","DR Close","SE Dionysius","NR Johnstone","Kepler Wessels","Adelaide Strikers","3",NA,NA,NA,NA,NA
"1188391","6","Sydney Sixers","Melbourne Stars","female","2019/20","2019/10/26","Women's Big Bash League","11","Hurstville Oval","Sydney","Melbourne Stars","bat","M Kapp","Berend du Plessis","Marc Nickl",NA,"Ian Thomas","Sydney Sixers",NA,"8",NA,NA,NA,NA
"1188392","6","Brisbane Heat","Perth Scorchers","female","2019/20","2019/10/26","Women's Big Bash League","10","Allan Border Field","Brisbane","Perth Scorchers","field","AE Jones","D Taylor","SA Lightbody","CA Polosak","Dave Gilbert","Perth Scorchers",NA,"9",NA,NA,NA,NA
"1188393","6","Sydney Thunder","Melbourne Renegades","female","2019/20","2019/10/26","Women's Big Bash League","12","Blacktown International Sportspark","Sydney","Melbourne Renegades","field","S Ismail","Roberto Howard","AR Hamilton",NA,"Tim Donahoo","Sydney Thunder","3",NA,NA,NA,NA,NA
"1188394","6","Adelaide Strikers","Perth Scorchers","female","2019/20","2019/10/27","Women's Big Bash League","13","Allan Border Field","Brisbane","Adelaide Strikers","field","TM McGrath","Steven Farrell","BC Treloar","DR Close","Dave Gilbert","Adelaide Strikers",NA,"7",NA,NA,NA,NA
"1188395","6","Sydney Thunder","Melbourne Stars","female","2019/20","2019/10/27","Women's Big Bash League","15","Bankstown Oval","Sydney","Sydney Thunder","field","AJ Blackwell","AR Hamilton","Berend du Plessis",NA,"Ian Thomas","Sydney Thunder",NA,"4",NA,NA,NA,NA
"1188396","6","Brisbane Heat","Hobart Hurricanes","female","2019/20","2019/10/27","Women's Big Bash League","14","Allan Border Field","Brisbane","Brisbane Heat","field","JL Jonassen","D Taylor","CA Polosak","SA Lightbody","Kepler Wessels","Brisbane Heat",NA,"5",NA,NA,NA,NA
"1188397","6","Perth Scorchers","Melbourne Renegades","female","2019/20","2019/11/01","Women's Big Bash League","16","W.A.C.A. Ground","Perth","Perth Scorchers","field","MM Lanning","Ashlee Gibbons","CA Polosak","NR Johnstone","Terry Prue","Perth Scorchers",NA,"8","D/L",NA,NA,NA
"1188398","6","Melbourne Renegades","Sydney Sixers","female","2019/20","2019/11/02","Women's Big Bash League","18","W.A.C.A. Ground","Perth","Sydney Sixers","field","D van Niekerk","NR Johnstone","J Hewitt","CA Polosak","Terry Prue","Sydney Sixers",NA,"4",NA,NA,NA,NA
"1188399","6","Perth Scorchers","Melbourne Stars","female","2019/20","2019/11/02","Women's Big Bash League","19","W.A.C.A. Ground","Perth","Perth Scorchers","field","L Lee","Troy Penman","T Steenholdt","NR Johnstone","Tim Donahoo","Melbourne Stars","20",NA,NA,NA,NA,NA
"1188401","6","Brisbane Heat","Adelaide Strikers","female","2019/20","2019/11/02","Women's Big Bash League","20","Harrup Park","Mackay","Adelaide Strikers","field","BE Patterson","Steven Farrell","D Taylor",NA,"Kepler Wessels","Adelaide Strikers",NA,"8",NA,NA,NA,NA
